NOME,SCHOLAR CITATIONS,SCHOLAR H-INDEX,SCOPUS CITATIONS,SCOPUS H-INDEX
Alex Borges Vieira,2536,23,1429,18
André Luiz de Oliveira,442,10,219,8
Carlos Cristiano Hasenclever Borges,488,11,241,9
Edelberto Silva,466,12,207,8
Fernanda Cláudia Alves Campos,1813,18,441,11
Heder Soares Bernardino,1436,19,819,14
Jairo Francisco de Souza,760,12,245,8
José Maria Nazar David,1311,16,502,11
Luiz Maurílio Maciel,106,5,61,4
Marcelo Bernardes Vieira,694,13,334,10
Marcelo Ferreira Moreno,399,9,170,6
Mario Antonio Ribeiro Dantas,2186,22,927,14
Pedro Henrique Dias Valle,776,10,290,7
Raul Fonseca Neto,197,8,104,8
Regina Maria Maciel Braga Villela,1880,21,622,12
Saulo Moraes Villela,244,8,137,7
Stênio Sã Rosário Furtado Soares,142,7,49,4
Victor Stroële de Andrade Menezes,906,14,377,10
Wagner Antonio Arbex,299,11,125,8
